Have A Nice Life	Deep, Deep	Deathconsciousness	5:23:00
My Bloody Valentine	Blown A Wish - Remastered Version	Loveless	3:36:00
Connie Constance	Clouds	Clouds	3:59:00
Everything Is Recorded	Washed Up On the Shore	Close But Not Quite	3:12:00
Yeasayer	O.N.E. - Live	Good Evening Washington D.C., Live at 9:30 Club	6:4:00
Yeasayer	Ambling Alp - Live	Good Evening Washington D.C., Live at 9:30 Club	4:42:00
Johnny Rain	143	EP1	4:10:00
Collarbones	Peaking	Atlantis 2014	4:18:00
Gold Class	Twist In The Dark (friendships remix)	Twist In The Dark (friendships remix)	8:51:00
Toro y Moi	Windows	Boo Boo	4:5:00
Avey Tare	In Pieces	Eucalyptus	3:4:00
Belle & Sebastian	Your Cover's Blown	Books	6:1:00
Sufjan Stevens	Should Have Known Better - Live	Carrie & Lowell Live	6:4:00
Joy Division	Disorder - 2007 Remastered Version	Unknown Pleasures	3:29:00
Jenny Hval	Period Piece	Blood Bitch	2:41:00
Broods	Evergreen	Evergreen	4:27:00
Foxygen	Shuggie	We Are the 21st Century Ambassadors of Peace & Magic	3:21:00
Dan Deacon	When I Was Done Dying	Gliss Riffer	4:18:00
Daughter	Departure	Music From Before the Storm	4:15:00
clipping.	A Better Place	Splendor & Misery	4:25:00
Discovery	Orange Shirt	LP	3:30:00
Usurper of Modern Medicine	Mercury in Motionless Space	Everything Is Nothing	5:27:00
Bola	Vespers	Mauver	6:52:00
Oneohtrix Point Never	Replica	Replica	4:35:00
Clams Casino	Be Somebody - Instrumental	32 Levels (Deluxe)	3:32:00
J. Cole	G.O.M.D. - Live	Forest Hills Drive: Live from Fayetteville, NC	4:46:00
Shlohmo	Meet Ur Maker	Dark Red	5:23:00
Father John Misty	True Affection	I Love You, Honeybear	3:56:00
Four Tet	Evening Side - Oneohtrix Point Never Edit	Evening Side (Oneohtrix Point Never Edit)	4:2:00
Aphex Twin	Xtal	Selected Ambient Works 85-92	4:53:00
Floating Points	Silhouettes (I, II, III)	Elaenia	10:42:00
Vince Staples	Summertime	Summertime '06	4:19:00
Dirty Projectors	Knotty Pine	Knotty Pine / So Far Around The Bend	2:25:00
Daughn Gibson	Tiffany Lou	All Hell	4:36:00
Blanck Mass	Hive Mind	World Eater	8:31:00
Broken Social Scene	World Sick	Forgiveness Rock Record	6:47:00
Zammuto	Idiom Wind	Zammuto	3:56:00
Count Counsellor	Cloud Calls	& The Childhood Heroes	4:57:00
Modest Mouse	Gravity Rides Everything	The Moon & Antarctica	4:19:00
Angel Olsen	Intern	MY WOMAN	2:46:00
Marmion Shoelace	Death in Custody	Death in Custody	4:0:00
Lorn	Spinning in a Dream	A/D, Music For Picture	1:22:00
Fever Ray	This Country	Plunge	3:12:00
Professor Murder	Free Stress Test	Professor Murder Rides the Subway	4:16:00
Bishop Briggs	The Way I Do	Bishop Briggs	4:3:00
Algiers	The Underside of Power	The Underside of Power	4:12:00
Lapalux	Don't Mean A Thing	Lustmore	5:48:00
Floating Points	Silhouettes (I, II, & III)	Elaenia	10:42:00
Blood Orange	Juicy 1-4	Freetown Sound	4:35:00
Tobacco	Memory Girl	Sweatbox Dynasty	1:50:00
Arthur Russell	Answers Me	World Of Echo	2:10:00
Ra Ra Riot	Water - Jim Eno Sessions	Spotify Sessions	4:19:00
John Legend	Wake Up - Cover of Arcade Fire Song	Wake Up [Digital 45]	6:2:00
Young Fathers	Lord	Lord	3:37:00
HTMLflowers	Non-Compliant Patient	Chrome Halo	4:8:00
